City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,lupane,-18.9315,27.807,14.8,43,0,2.18,ZW,1683501528
117,buka,40.8108,69.1986,13.83,57,3,1.12,UZ,1683501529
118,taoudenni,22.6783,-3.9836,36.06,8,73,4.43,ML,1683501529
119,namibe,-15.1961,12.1522,24.03,63,10,2.19,AO,1683501529
120,saint-joseph,-21.3667,55.6167,23.21,81,100,4.77,RE,1683501529
121,locust grove,33.346,-84.1091,27.38,60,83,0.89,US,1683501529
122,qaqortoq,60.7167,-46.0333,2.28,79,100,1.46,GL,1683501529
123,yuzhno-kurilsk,44.0306,145.8556,2.44,90,100,2.67,RU,1683501529
124,itamaraca,-7.7478,-34.8256,28.03,83,56,4.12,BR,1683501529
125,pandan,14.0453,124.1694,27.59,78,64,2.37,PH,1683501529
126,douentza,14.9951,-2.9517,33.39,30,100,0.28,ML,1683501530
127,tapejara,-28.0681,-52.0139,16.89,94,83,6.34,BR,1683501530
128,college,64.8569,-147.8028,11.97,45,75,2.57,US,1683500752
129,acapulco de juarez,16.8634,-99.8901,30.9,74,40,4.63,MX,1683501446
130,brookings,44.3114,-96.7984,22.43,49,0,4.12,US,1683501374
131,dunedin,-45.8742,170.5036,16.15,76,100,0.89,NZ,1683501323
132,labrador city,52.9463,-66.9114,1.95,60,75,3.09,CA,1683501530
133,mount gambier,-37.8333,140.7667,11.64,74,96,3.52,AU,1683501530
134,ust-nera,64.5667,143.2,2.03,95,100,2.91,RU,1683501052
135,manta,-0.95,-80.7333,28.88,70,75,4.12,EC,1683501530
136,les cayes,18.2,-73.75,26.37,74,8,2.81,HT,1683501531
137,castillos,-34.1667,-53.8333,16.07,79,100,2.88,UY,1683501531
138,carnarvon,-24.8667,113.6333,20.83,56,11,5.13,AU,1683501531
139,ebon,4.582,168.6964,28.48,79,100,5.58,MH,1683501531
140,kidal,18.4411,1.4078,33.9,18,61,3.5,ML,1683501531
141,conduaga,8.862,117.4893,26.31,82,99,1.77,PH,1683501531
142,newman,37.3138,-121.0208,23.49,55,100,1.34,US,1683501531
143,san andres,12.5847,-81.7006,29.01,70,40,5.66,CO,1683501531
144,abbeville,50.1,1.8333,12.92,93,75,1.83,FR,1683501532
145,kalmunai,7.4167,81.8167,25.59,80,100,1.13,LK,1683501532
146,mangrol,21.1167,70.1167,27.17,73,7,4.91,IN,1683501532
147,tiksi,71.6872,128.8694,-15.67,88,34,4.48,RU,1683501532
148,bikenibeu village,1.3673,173.1241,31.98,70,75,5.14,KI,1683501532
149,terrace,54.5163,-128.6035,13.95,47,75,3.09,CA,1683501532
150,singida,-4.8167,34.75,18.81,69,98,4.16,TZ,1683501532
151,jwaneng,-24.6004,24.7303,16.67,64,99,6.15,BW,1683501532
152,vadso,70.0744,29.7487,4.09,81,75,3.6,NO,1683501533
153,ponta delgada,37.7333,-25.6667,18.4,94,75,5.14,PT,1683501533
154,bahia blanca,-38.7196,-62.2724,15.46,82,1,1.79,AR,1683501533
155,mil'kovo,55.6078,37.7956,1.14,63,6,1.28,RU,1683501533
156,bubaque,11.2833,-15.8333,26.05,73,22,0.88,GW,1683501533
157,jayapura,-2.5333,140.7,27.66,85,77,1.98,ID,1683501533
158,korla,41.7597,86.1469,9.52,41,65,2.48,CN,1683501533
159,port isabel,26.0734,-97.2086,30.05,83,40,8.75,US,1683501533
160,port lincoln,-34.7333,135.8667,13.69,63,70,3.84,AU,1683501533
161,la passe,45.5549,-0.8967,14.43,90,53,3.06,FR,1683501534
162,ancud,-41.8697,-73.8203,8.56,83,46,1.02,CL,1683501534
163,avarua,-21.2078,-159.775,27.03,83,75,3.09,CK,1683501534
164,stung treng,13.5259,105.9683,25.06,91,100,1.12,KH,1683501534
165,mount pearl,47.5166,-52.7813,5.74,70,75,6.69,CA,1683501534
166,greymouth,-42.4667,171.2,15.52,93,100,1.95,NZ,1683501534
167,berbera,10.4396,45.0143,29.97,77,98,2.47,SO,1683501534
168,brisas de zicatela,15.8369,-97.0419,31.29,66,0,3.09,MX,1683501535
169,longyearbyen,78.2186,15.6401,-1.09,86,75,3.09,SJ,1683501053
170,kiama,-34.6833,150.8667,14.76,53,67,5.36,AU,1683501535
171,rajpur,22.3,74.35,27.25,62,0,3.66,IN,1683501535
172,souillac,-20.5167,57.5167,25.21,83,75,3.6,MU,1683501535
173,pacific grove,36.6177,-121.9166,19.1,68,0,5.66,US,1683501535
174,la paz,-16.5,-68.15,8.99,88,75,3.6,BO,1683501535
175,vallo della lucania,40.2297,15.2658,14.2,69,34,2.03,IT,1683501536
176,okha,53.5739,142.9478,3.97,73,31,3.92,RU,1683501536
177,lakes by the bay,25.5723,-80.3253,26.12,71,40,8.75,US,1683501536
178,prijedor,44.9814,16.7131,14.82,98,100,0.98,BA,1683501536
179,castlebar,53.85,-9.3,13.47,98,100,4.43,IE,1683501516
180,muborak,39.2553,65.1528,17.57,43,2,3.51,UZ,1683501536
181,kabalo,-6.05,26.9167,21.42,91,8,1.93,CD,1683501536
182,maba,24.6841,113.5984,19.99,79,96,1.25,CN,1683501537
183,horta,38.5333,-28.6333,17.79,98,100,11.62,PT,1683501537
184,mata-utu,-13.2816,-176.1745,28.71,74,18,4.01,WF,1683501537
185,charcas,23.1333,-101.1167,15.95,72,59,2.08,MX,1683501537
186,fortuna,40.5982,-124.1573,15.19,64,95,5.25,US,1683501537
187,kapa'a,22.0752,-159.319,27.99,67,20,7.2,US,1683501537
188,motueka,-41.1333,173.0167,18.94,98,100,1.63,NZ,1683501538
189,correntina,-13.3433,-44.6367,23.45,46,15,1.62,BR,1683501538
190,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,46,75,4.0,RU,1683501052
191,mazatlan,23.2167,-106.4167,33.98,57,100,9.26,MX,1683501475
192,qaisumah,28.3112,46.1273,27.98,23,0,4.12,SA,1683501538
193,rapid city,44.0805,-103.231,21.61,41,75,6.17,US,1683501338
194,fale old settlement,-9.3852,-171.2468,29.04,75,45,4.47,TK,1683501538
195,gazojak,41.1875,61.4036,18.73,36,0,1.9,TM,1683501538
196,sinabang,2.4803,96.3801,26.12,86,100,7.32,ID,1683501538
197,drabiv,49.963,32.1529,4.62,72,69,4.04,UA,1683501539
198,luderitz,-26.6481,15.1594,14.44,59,0,5.01,NA,1683501539
199,karratha,-20.7377,116.8463,24.03,38,58,7.97,AU,1683501539
200,zilair,52.2332,57.4392,4.43,53,100,3.91,RU,1683501539
201,enewetak,11.3474,162.3373,27.45,78,92,7.97,MH,1683501539
202,walvis bay,-22.9575,14.5053,12.83,70,0,2.45,NA,1683501539
203,sihanoukville,10.6093,103.5296,26.97,94,40,1.03,KH,1683501539
204,lorengau,-2.0226,147.2712,29.68,71,68,2.35,PG,1683501539
205,port blair,11.6667,92.75,28.45,78,100,1.27,IN,1683501540
206,jamestown,42.097,-79.2353,18.56,78,100,1.54,US,1683501462
207,inarajan village,13.2736,144.7484,29.54,85,30,4.72,GU,1683501540
208,mombetsu,44.3525,143.3525,5.7,56,100,2.04,JP,1683501540
209,talnakh,69.4865,88.3972,-16.46,84,94,1.98,RU,1683501540
210,kruisfontein,-34.0033,24.7314,13.23,90,80,2.27,ZA,1683501046
211,nemuro,43.3236,145.575,1.79,95,100,5.37,JP,1683501540
212,nong ki,14.6868,102.538,29.17,70,88,1.62,TH,1683501540
213,bel ombre,-4.6167,55.4167,26.91,89,40,2.06,SC,1683501541
214,igarka,67.4667,86.5833,-6.52,86,100,4.73,RU,1683501541
215,anna regina,7.2644,-58.5077,25.42,89,34,4.2,GY,1683501541
216,rio grande,-32.035,-52.0986,19.06,96,100,4.55,BR,1683501541
217,carbonear,47.7332,-53.2148,7.46,66,98,8.2,CA,1683501541
218,iranshahr,27.2025,60.6848,27.34,18,0,1.37,IR,1683501541
219,zhanjiang,21.2815,110.3427,23.93,94,99,5.22,CN,1683501541
220,samraong,12.4526,105.5873,27.19,83,100,1.35,KH,1683501542
221,gorontalo,0.5412,123.0595,25.59,92,98,1.47,ID,1683501542
222,tralee,52.2704,-9.7026,13.01,99,100,2.56,IE,1683501542
